date,description,amount,category,type,payment_method
2025-09-02,Uber Uber *Trip Help.U,8.96,Uber,expense,Crédito - Nubank
2025-09-02,Uber* Trip,8.94,Uber,expense,Crédito - Nubank
2025-09-02,Uber* Trip,7.92,Uber,expense,Crédito - Nubank
2025-09-02,Uber Uber *Trip Help.U,5.93,Uber,expense,Crédito - Nubank
2025-09-02,Dl*99 Ride,4.60,Uber,expense,Crédito - Nubank
2025-09-02,Jetshr,22.00,Outros,expense,Crédito - Nubank
2025-09-02,Uber Uber *Trip Help.U,7.98,Uber,expense,Crédito - Nubank
2025-09-01,Supermercado Lider Can,157.22,Supermercado,expense,Crédito - Nubank
2025-09-01,Uber Uber *Trip Help.U,24.96,Uber,expense,Crédito - Nubank
2025-09-01,Dl*99 Ride,4.60,Uber,expense,Crédito - Nubank
2025-09-01,Pg *99 Ride,8.00,Uber,expense,Crédito - Nubank
2025-08-30,"IOF de ""Abacus.Ai""",1.97,Software,expense,Crédito - Nubank
2025-08-30,Abacus.Ai,56.43,Software,expense,Crédito - Nubank
2025-08-30,Pg *99 Ride,5.40,Uber,expense,Crédito - Nubank
2025-08-29,Jetshr,38.90,Outros,expense,Crédito - Nubank
2025-08-28,Supermercado Lider Can,148.57,Supermercado,expense,Crédito - Nubank
2025-08-28,Uber* Trip,10.96,Uber,expense,Crédito - Nubank
2025-08-28,Uber* Trip,15.92,Uber,expense,Crédito - Nubank
2025-08-27,Uber* Trip,6.92,Uber,expense,Crédito - Nubank
2025-08-27,Uber* Trip,11.94,Uber,expense,Crédito - Nubank
2025-08-27,Uber* Trip,12.97,Uber,expense,Crédito - Nubank
2025-08-27,Uber* Trip,13.91,Uber,expense,Crédito - Nubank
2025-08-25,Pg *99 Ride,13.20,Uber,expense,Crédito - Nubank
2025-08-25,Sosthenes & Sosthenes,90.00,Quarto,expense,Crédito - Nubank
2025-08-25,Pg *99 Ride,4.60,Uber,expense,Crédito - Nubank
2025-08-25,Leoberi,58.00,Lanche,expense,Crédito - Nubank
2025-08-24,Amazonmktplc*Nerishopc,31.90,Outros,expense,Crédito - Nubank
2025-08-24,Jetshr,27.00,Outros,expense,Crédito - Nubank
2025-08-24,Pg *99 Ride,8.10,Uber,expense,Crédito - Nubank
2025-08-24,Jetshr,6.89,Outros,expense,Crédito - Nubank
2025-08-24,Dl*99 Ride,4.60,Uber,expense,Crédito - Nubank
2025-08-24,Dl*99 Ride,8.40,Uber,expense,Crédito - Nubank
2025-08-23,Jetshr,4.47,Outros,expense,Crédito - Nubank
2025-08-23,Supermercado Lider Can,54.80,Supermercado,expense,Crédito - Nubank
2025-08-22,Supermercado Lider Can,124.70,Supermercado,expense,Crédito - Nubank
2025-08-22,Jetshr,6.99,Outros,expense,Crédito - Nubank
2025-08-21,Uber Uber *Trip Help.U,10.34,Uber,expense,Crédito - Nubank
2025-08-21,Uber Uber *Trip Help.U,11.93,Uber,expense,Crédito - Nubank
2025-08-20,Supermercado Lider Can,202.25,Supermercado,expense,Crédito - Nubank
2025-08-18,Jetshr,1.90,Outros,expense,Crédito - Nubank
2025-08-18,Jetshr,1.90,Outros,expense,Crédito - Nubank
2025-08-18,Jetshr,1.90,Outros,expense,Crédito - Nubank
2025-08-18,Dl *Google Youtube,6.99,Streaming,expense,Crédito - Nubank
2025-08-17,Jetshr,35.00,Outros,expense,Crédito - Nubank
2025-08-17,Jetshr,1.90,Outros,expense,Crédito - Nubank
2025-08-17,Sr. Forneria Pizzas,80.50,Lanche,expense,Crédito - Nubank
2025-08-16,Drogasil - Parcela 3/3,49.59,Farmácia,expense,Crédito - Nubank
